Yorum,Puan
Nethouse firmasına öncelikle teşekkürler.kargomun çok hızlı bir şekilde bana ulaşmasını sağladılar.urun gayet güzel ve kullanışlı.,5
gayet güzel sorunsuz çalışmakta,5
"Alalı 4 ay oldu gerçekten oldukça kullanışlı hızlı ve işlevsel bir bilgisayarve oldukça da estetik, kesinlikle öneririm",5
Oyun ile işiniz yoksa tam bir fiyat performans bilgisayarı 6 adet aldım çokta memnun kaldık.,5
Ürünü 6 aydır kullanıyoruz. Memnunuz.,5
"Bilgisayar gerçekten çok iyi ve hızlı, teşekkürler Hepsiburada ve Nethouse.",5
H<ızlı sorunsuz teslimat ve ofis için güzel bir makjine,5
Tam bir f/p bilgisayarı,5
"Laptop sorunsuz şekilde 2 içinde hızla geldi, teşekkür ederiz",5
Ürün bahsedildiği özelliklerde ve temiz geldi teşekkürler.,5
"Bu kadar hızlı gelebileceğini tahmin etmiyordum, ayrıca kargoyu kırılmayacak şekilde paketlediğiniz için de teşekkür ederim",5
Belirtilen teslimat tarihinde gayet özenli ve sağlam geldi,5
Urun cok guzel bi sekilde elime ulasti. Kargoyu aldigimda icinde pc yok sandim o kadar hafifti ki. Guzel kullanisli herhangi bir sorun yasatmadi. 8 saat guzel bir sekilde sarji gidiyor. Is icin kullanima uygun,5
"Çok hafif, stilist bir laptop, freedos fakat çook hızlı. Oyun oynanmaz fakat ben uzaktan eğitimim için aldım kesinlikle çok yeterli. Tasiye ederim",5
"Urun o kadar hafif ki kargo paketinin icinde yok sandik. Gayet kullanisli gozukmekte hazarsiz geldi. Bir tek format attirdik. Mis gibi kullanima hazir hale geldi. Ses kamera kalitesi guzel. Umarim uzun yillar kullanima uygun olur. Bu arada kargo parasi odememiz beni baya sasirtti siparis verirken dikkat etmemistim, bugn faturaya bakinca anladim.",5
Cihaz çok çok iyi. Mermi gibi. Alın pişman olmazsınız. Lenovo resmen çoşmuş.,5
Fiyat performans olarak ele alındığında yeterli bir ürün. Günlük basit işler için ideal.,5
"Güzel Bir Ürün İş Adına, Ders Adına Yapamayacağın Hiç Birşey Yok ama yeni nesil oyunlar oynanmaz ama eski oyunları kaldırır",5
yeni geldi elime çok güzel tasarımı  Windowsu falan kurduk 10 saniyede açılıyor çok hızlı performans ders ödev ofis için çok uygun teşekkürler,5
24 saat içinde elime ulaştı.bu kadar hızlı ulaşmasına sevindim.Ayrıca özelliklerine göre fiyat çok iyi.tavsiye ederim.,5
Ürünü anlık indirimden aldık. Gerçekten bu fiyata bu ürünü almak mucize idi. Bu ürün oyun vs icin değil. Sadece iş ve okul bilgisayarı. Bu tarz işlemler icin alacaksanız hiç düsünmeyin alın. Ayrıca ürün görüntü olarakta güzel çok hafif ve zarif,5
Ürün çok güzel. Hepsi Buradaya teşekkürler. Bir günde Antepe de ulaştırdınız helal olsun. Tabii Antepteki biriminiz bana 4 günde getiremedi ben gittim aldım da o ayrı. Onu size saymıyorum.,5
uygun fiyatlı olarak aldım performans olarak günlük işleri rahatlıkla kaldırıyor işlemci çoğu i3 i5 lerden performanslı,5
Ürün kısa sürede elime ulaştı. Fiyatına göre özellikleri çok iyi. Özellikle içinde m2 ssd olması çok iyi bir özellik. Tavsiye ederim.,5
Gerçekten çok güzel tavsiye ederim uzaktan eğitim için ideal bir PC,5
Çocukların eğitimi için aldım ve epey kaliteli bir ürün olduğunu gördüm. Tavsiye ederim.,5
İndirimdeyken almıştım kargolama süper ve hızlı ulaşım  markanın kalitesi tartışılmaz tavsiye ederim,5
Fiyata göre hızlı ve güzel keşke iki tane alsaydım indirimdeyken satardım şimdi 😀,5
Çok hafif çok kullanışlı çok beğendim ve paketlenmesi de bi okadar güzeldi,5
Uzaktan eğitim için aldım ve cidden mükememl,5
çok güzel bir ürün tasarımı ve donanımı gayet iyi ertesi gün elime ulaştı kargo hızı muazzam.,5
Fiyat kalite ürünü indirimden aldım çok güzel,5
oyun oynamayacaksanız gayet iyi okul için falan,5
Çocuklara canlı ders için aldım kullanışlı ve memnunlar,5
Gayet basarili,5
İnce ve güzel bi tasarımı var.,5
Ürün çok hızlı bir şekilde geldi fiyatına göre çok güzel ve sağlam bir ürün herkeze tavsiye ederim,5
Gayet güzel fiyatına göre çok iyi,5
Çok hızlılı gönderi. Ürün uzaktan eğitim için yeterli.,5
"Ürün istediğim gibi çok hızlı ulaştı, saat 9:00-12:00 arası diyordu 9:30 da geldi, hızlı teslimat için teşekkür ederim. ürün çok güzel, ince hafif ve beklediğim kadar hızlı. ev kullanımı için gayet ideal. çocuklar uzaktan eğitim alsın diye almıştım, son derece yeterli. açılış ve kapanışı çok hızlı, tavsiye ederim.",5
sipsarişi verdim ve ertesi gün elime ulaştı.Hızlı hizmet için teşekkürler. Ürün ise fiyatına göre çok ideal ve uygun bir ürün. Oyun için kullanım olmayacaksa çok rahat kullanabilirsiniz.,5
"Günlük ihtiyaçları karşılıyor,hızlı ve stabil olarak çalışıyor.Doğru sürücüleri yüklediğinizde oyun performansı da beni şaşırttı doğrusu league of legends oyununda medium ayarda 100+ fps aldım ancak sürücüleri yüklemezseniz açmıyor bile.Kamera idare eder.Mikrofonu başarılı sesim net bir şekilde gidiyor.Fiyatını hakeden bir laptop pişman etmedi beni.",5
Ürün geldi gayet memnunum. Bir kargo ne kadar hızlı ve güvenli gelebilir. Tşkler.,5
Hızlı teslimat,5
Ürünü kardeşime aldık güzel cihaz malzeme kaliteside güzel,5
sorunsuz geldi istediğim gibi memnunum,5
Güzel ürün. İhtiyacı olan alabilir,5
Hizli ve saglam Kargo tesekkurler hepsiburada,5
Güzel tafsiye ederim,5
Hızlı teslimat için teşekkürler.,5
Mukemmel ekran kalitesi isigi gayet iyi 5 yildiz👍👍👍,5
Sorunsuz bir şekilde elime ulaştı.Teşekkürler,5
Bilgisayar tam bir fiyat performans ürünü,5
HP kalitesi Ryzen 5 işlemci 8GB ram 256SSD daha ne olsun :),5
"hızlı, sağlam geldi, belirtilen özelliklerin tamamı mevcut. kızımın online dersleri için almıştım, ekranı harika çok geniş. klavyeler kullanışlı. tek eksiği kurulu değil, bir bilgisayarcıya götürüp windows kurdurmanız gerekiyor.",5
Süpriz yok ürün görsel ve anlatıldığı gibi geldi.,5
Ürün bir gün sonra elime ulaştı. Çok hafif. Çok kibar. F/p ürünü. Ev ödev iş için uygun. Oyun bilmem oynamam. Cd rom yok. Ekran yansıtmazlık var. Web cam kapatma düğmesi var.  Bilgisayardan anlıyorsanız kendiniz win ve office yüklersiniz. Biraz karışık iş. 50 tl verip bi yere yükletmek en mantıklısı. Bataryası gömülü fakat şarjı dolunca pirizde de olsa dolum yapmıyormuş. Ssd 256 yeterli. Günlük kullanım için yıllarca idare eder.,5
Thmgbbh,5
Ürün tamamen özelliklerde belirtildiği gibi geldi. Güvenilir satıcı hızlı kargo 👍 denildiği gibi gerçekten fiyat perfonmans ürünü. Ayrıca çok hafif ve fazlasıyla şık,5
Ürün gayet şık ve hafif.İsletim sistemi olmadan geliyor.Kendi sürümleri driverda kayıtlı kolayca yüklüyorsunuz,5
fiyatına göre iyi ürün,5
güzel tasarım vs özellikleri gayet iyi ve iyi fiyat kargo mng olmasa çok daha güzel,5
zarif kibar,5
Harika ve çok şık çok beğendim kargo da çok hızlıydı memnun kaldım teşşekürler,5
Ürün gayet güzel kargo hızlı ulaştı ben 10 gün önce ürünü 3899 a aldım memnunum,5
Ürün gayet güzel hızlı kargo harika,5
bilgisayar gerçekten fiyatına göre çok kaliteli şık ve hızlı,5
Lolde ortalama kaç fbs alırım bu laptopla,5
Harika bir ürün. Çok kaliteli bir tasarımı var. Özellikleri çok kaliteli ve çok yeterli.,5
Ürün iyi. İşletim sistemini siz yükleyeceksiniz. Görüntüsü kalitesi rengi de güzel. İçerisinden sadece şarj kablosu çıkıyor. Sürücü cd si ya da cd leri yok. Kendiniz halledeceksiniz ya da bir bilgisayarcının yolunu tutacaksınız. Özellikleri zaten belli. Ürünü almaya karar verdikten sadece bir gün içinde beşyüz lira zam geldi. Ben aldıktan sonra yine yükselmişti fiyatı. Fiyatlara yetişemiyoruz zaten. Eğer bilgisayar almaya karar verdiyseniz modelinizi de bulduysanız hiç zaman kaybetmeden alın.,5
Paketi çok özenliydi ve hızlı gelmişti. Evden çalışmaya başladığım için almıştım. Kampanyalıydı ve baya uygundu ben aldığımda. Hem işimi yapıp hem oyun oynayabiliyorum. Kasmıyor. Aldığımdan beri başına ufak tefek kazalar geldi ama tık demedi. Hafif ve ince. Bana yetti baya memnunum.,5
Bilgisayar gayet iyi hızlı ve günlük kullanım için yeterli oyun vs oynamadığım için performans kısmını bilemeyeceğim ısınıma ise bilgisayar çok az ısınıyor fakat fan kısmı bilgisayarın ekran kısmına bakıyor ekrana doğru üfürüyor yani bu yüzden ekran biraz ısınıyor ama oyun oynamadığımdan çok çalışmıyor fanlar çok çalışırsa ekrana ne kadar ısı gönderir bilemiyorum,5
"Şahsen üniversite sınavına donan bir bilgisayar ile hazırlanmak istemediğim için yorumlara ve incelemelere güvenerek aldım. Aynı fiyat klasmanında birçok bilgisayara denk geldim ancak hiçbiri ideapad rakibi olabilecek düzeyde değildi. 512 GB SSD olmasına rağmen bu denli hızlı olabileceğini bile tahmin etmemiştim, düşünün. 5 saattir açık, abartıldığı kadar bir ısınma da olmadı. Tuşların dokunuşu yeterince sessiz ve yumuşak. Şişirilmiş markalardan çok günlük performans arıyorsanız doğru yerdesiniz.",5
"Ürün çok hızlı bir şekilde elime ulaştı. Gerçekten indirim döneminde bu fiyata bu özellikte bir bilgisayar aldığım için çok mutluyum. Tasarımı olsun, hızı olsun her şey çok güzel. Normal bir kalınlığı var hatta biraz ince bile diyebiliriz. Kullanımı çok rahat. Gönül rahatlığıyla tercih edebilirsiniz.",5
"Benim açımdan en önemli kriter ips ekran ve full hd olmasi idi. Diğer özellikler de uygun olunca ( fiyatı  hariç, çok pahalı) 40 asırlık laptopunu emekliye ayırdım. Saf saf bunun pili nasıl çıkarılıyor, bu ne kadar da incelmiş diye bakıyorum. Yeni nesil işlemci, ekran, dizayn, yüksek hız hepsiyle yeni tanıştım. Alacak olanlara  hayırlı olsun. Dikkat usb girişi için biraz zorlamak gerekiyor.",5
"Fiyat-performans ürünü. Teknik bilgi için telefonla görüştüğüm mağaza ilgilisi gerçekten çok nazik, konusuna  hakim ve güven vericiydi.  Paketleme özenli, Aras Kargo da son derece hızlıydı. Yaklaşımları ve minik ikramları için Notis Teknoloji'ye teşekkürler.",5
"Ürün çok hafif ve ince. Tek olumsuz tarafı Ethernet girişinin olmaması. Dün teslim aldım ve 1 günlük kullanım yorumumu paylaşabiliyorum. Bir de aralıksız 4 saatlik batarya ömrüne sahip, biraz daha uzun olması beklenirdi.",5
Ürün bugun elime ulaştı fan sesi bana fazla gibi geldi.ama pc cok akıcı 3 saniyede açıldı tam f/p Ürünü cidden,5
Ürün tatmin edici ve sipariş verdiğimin günün ertesinde elimdeydi çok teşekkürler.,5
1 haftadır kullanıyorum. Ürünü beğendim şimdilik. Asıl performansı 2 yıl sonra oraya çıkacaktır. Inşallah böyle devam eder.,5
"Ürün bugün elime ulaştı şu an için güzel bir ürün kullandıkça belli olacak. Kargolama hızlı, paketleme özenliydi.",5
Harika bir laptop,5
Hızlı teslimat ve güzel paketleme. Teşekkürler,5
Cihazdan memnunuz. Kötü bir sürprizle karşılaşmadık.,5
"Hızlı ve kaliteli Ürünü aldıktan sonra Windows 10 pro kurdum.Bir süre update ettikten sonra bütün sürücülerinin güncel olduğunu gördüm.Cihazı uzaktan eğitim için aldım ama açılma ve kapanma hızı,tepkime süresi süper.Daha fazlasını da sorunsuzca karşıladı.Uzun süre işimi görecek gibi duruyor.Hp nin malzeme kalitesi de kendini hissettiriyor.Ayrıca ses seviyesi fazlasıyla yeterli. Ben uzun süre araştırdıktan sonra bu cihazı aldım.Almak isteyenlere de tavsiye ederim.",5
"Ürünü aldıktan sonra Win10Pro kurdum, ofiice v.b bir çok uygulamayı da yükledim, dolu dolu bir notebook oldu. Ürünün donanım uyumu beklentimin çok üstünde çıktı, açılış/kapanış sadece 2-3 sn gibi kısa bir süre, inanılmaz hızlı bir makine, çok memnun kaldık, teşekkür ederim. Samsung 512GB SSD, 8 GB RAM, Intel i5 10.nesil işlemci ile bu ürün fiyatına göre çok iyi ve çok performanslı, tam bir yer uçağı, 5 yıldızı sonuna kadar hak ediyor. Teslimat da inanılmaz hızlıydı, 1 gün içinde teslimatı yapıldı, teşekkürler Hepsiburada.",5
Almadan önce çok düşündüm acaba kötü gelir mi bozuk olur mu falan diye ama hiç bir sorun çıkmadı.Ürün gayet güzel kendi orjinal kutusunda sapasağlam geldi.Bu fiyat bandında alınabilecek iyi ürünlerden biri.,5
Ürün gerçekten tam istediğim gibi hızı mükkemmel fan sesleri hiç yok gibi teslimat konusunda çok hızlılardı teşekkür ederim emeği geçen herkese,5
Ürünü aldım kullanmaya başlamadım güzel fakat faturası gelmedi iyi çalışmalar faturası mı bana gönderirsiniz,5
"Akşam sipariş verdim sabah kargo geldi, Öncelikle hızlı kargo için Teşekkürler...",5
Ürün 24 saat içinde ulaştı.Teşekkürler,5
Freedos gelmesi haricinde cihazı çok beğendim.Güzel cihaz güzel paketleme hızlı kargo satıcıya teşekkürler.,5
Fiyat ve performans açısından bence başarılı. Ben ekstra 8 GB da ram aldım taktım ve süper bir performansı oldu. Alanlara aynı şekilde tavsiye ederim. Böylelikle ço daha iyi bir haline geliyor.,5
Ürün fiyatına göre makul seviyede. Çok ince ve zarif duruyor. İşletim sistemi yok üründe. Free Dos olarak geliyor. Kendiniz Windows yüklemelisiniz. Ben yükledim. Sorunsuz olarak. Hızlı teslimat. İyi paketleme.,5
Tam bir fiyat performans ürünü gelir gelmez flas bellek ile win 10 kurdum gayet stabil rahat hızlı çalışıyor çok zarif hafif ince herkese tavsiye ederim. Satıcı harika kutulamis 3 kat kutusu vardı. Satıcıya ve Hepsiburada ya teşekkürler,5
aynen görüldüğü gibi. Ev ofis için aldım şimdilik çok memnunum.Pratik hafif. İçeriği benim için yeterli. Hızlı ve sağlam teslimat için teşekkür ederim.,5
Yaklaşık 15 gündür kullanıyorum. Ve cook memnun kaldim satici da hizli bir sekilde kargoya verdi. Tavsiye ederim,5
"Hızlı bir şekilde 3 günde Kars’a teslim edildi. Özenli paketleme yapılmış, fiyatına göre alınabilecek laptop. Sadece Freedos geliyor.",5
2. Gün elime ulaştı. Güvenilir,5
Kargo hızlıydı. Ürün ise beklediğimden iyi çıktı. Teşekkür ederim.,5
"Fiyatına göre uygun olduğunu düşünüyorum;artıları;2 kademeli klavye ışığı şık duruyor,hoparlörler çok başarılı,batarya normal kullanımda 4 saate yakın gidiyor,Ips ekran olması benim için önemliydi güzel.Tek hoşuma gitmeyen şey diğer bilgisayarlarda nasıl bilmiyorum ama kamera,çözünürlük düşük;cep telefonlarına alışınca mı bize böyle geliyor anlayamadım..Ama alınabilecek bi ürün olduğunu düşünüyorum",5
1 gün içinde Ürünü sorunsuz teslim aldım  Tşkler,5
firmanın ilgisi güzel teşekkür ederim,5
fiyatına göre çok başarılı ben tavsiye ederim. çok hızlı ve donanımlar uyumlu.,5
Ürün hızlı geldi garanti belgesi ile. Güzel tercih.,5
Bilgisayar cok Iyi ve ucuz,5
Ürün hafif ve ince. Tam şarjla 4 saate yakın gidiyor. Bu fiyata alınabilecek en iyi bilgisayar. Tahmini teslim süresinden 2 gün önce geldi. Paketlenmesi özenli ve güzeldi. Ürün fredoos yani Windows kurulu olmadan geliyor. Dwd sürücü yok. Günümüz teknolojisinde çok kullanılmadığı için yeni bilgisayarların çoğunda yok zaten. İhtiyaç duyarsanız 100 TL ye iyi bi harici Dwd sürücüsü alabilirsiniz. Ürünün dış tasarımı kötü değil ama iddialı bir tasarımı da yok. Özetle hem uygun hem iyi bir bilgisayar alıyım diyorsanız o notebook budur,5
Ürün hızlı bir şekilde teslim edildi teşekkür ederim güzel bir şekilde kargolanmis...Tek dezavantajı freedos olması yani içinde işletim sistemi yok siz bilgisayarcidan işletim sistemi yüklemeniz lazim,5
Bence efsane makina cs go gibi oyunları rahat oynarsınız ama biraz ekranı değisij geldi ince gibi ama sıkıntı deil kendime bunu hem ders arada sırada oyun oynamak için aldım fiyatına göre güzel,5
"Merhaba iyi günler,ben sizin mağazadan acer extensa sipariş verdim ,kızımın doğum günü için,yalnız çarşamba ayın 11'de doğum günü,lutfen biraz erken kargoya verebilimisiniz??teşekkür ederim",5
Ürün güzel paketleme güzel ön görülen teslim tarihinden önce geldi. Firmaya ve hb teşekkür ederim.,5
Urun çok güzel kargolanmis. Bu fiyata alınabilecek ey iyi bilgisayar.,5
Ürün malzeme olarak kaliteli ve gayet güzel. Çok hızlı kargo ve paketleme mükemmel. Ürün kutusunda açılmamış bir şekilde geldi.  Mağazanın göstermiş olduğu hizmet takdiri hak ediyor. Her şey çok güzel teşekkür ederim.,5
Ürünün kalitesi geldiği kargodan anlaşılıyor kargom 3 iş günü içerisinde geldi hızlı bir şekilde hiçbir çizik dahi yok beş yıldızı hak ediyor :),5
Bu zamanda F/P olarak alınabilecek cihazlardan birisi. Beklentilerimi karşıladı.,5
Zamanında teslim edildi. Ürün güzel,5
Hızlı kargo ve güzel bir ürün teşekkürler...,5
Ürün güzel sıkıntısız özenle paketlenmiş.,5
Satıcı çok ilgili ve sorunları çözüyor iyi ki almışım,5
Hızlı ve sorunsuz teslimat teşekkürler,5
"Fiyatına göre çok iyi, işimi görüyor",5
Gayet güzel kullanışlı.hızlı bir şekilde geldi.cuma sipariş verdim Pazartesi geldi.teşekkür ediyorum,5
Tam bir fiyat performans ürünü oldukça hızlı ve şık,5
Çok güzel paketlenmiş güzel bilgisayar,5
ürün çok kısa sürede geldi bayıldım,5
"2 gun icinde elime ulasti,tessekur ederim",5
24 saat bile olmadan ürün elime ulaşti. Üründe fiyatına göre çok iyi,5
Özenle paketlenmiş 👍,5
Ortalama kullanım için gayet yeterli ve güzel bir dizüstü.,5
Ürun çok kısa sürede geldi teşkkürler bozdan,5
Süper hızlı kargo iyi paketlenmiş ve harika fiyat.,5
"Çarşamba 13.02 de sipariş vermiştim. Perşembe 16:45 te teslim edildi. Orjinal kutusunda kapalı ürün geldi. Çok acil ihtiyacım vardı. Elektronik marketlerden elden almak istedim. Fakat i3 geldiği gibi bitiyor hatta i5 bile yok dediler. İyi ki de buradan sipariş vermişim. Hem orjinal windows 10 hem asus hem i3.  Tasarımını çok beğendim. Siyah renk bekliyordum. Ama gri geldi. Ve ben çok şık buldum. İnanılmaz sessiz çalışıyor. İlk geceden sabahladım bilgisayarla biriken işler nedeniyle. Birden fazla excel,word, ppt ve pdf dosyası açık iken arkadan müziğimi dinleyebildim. Bir ara sekmeleri fazlalaştırınca fan devdeye girdi 3 dk kadar. Ama o da olsun o kadar. Ben baya sevdim. Asus istiyordum hep. İyi ki almışım. Firmaya titiz davranıp hızlı gönderdikleri için teşekkürler.",5
Ürün çok güzel. tek eksiği ethernet girişi yok. wifi var. Eternet için usb ethernet kablosu almak lazım. Kargolama iyi değil. Laptopu kutuyla başka büyük kutu içine öylece koyup göndermişler. kutuyu destekleyecek hiçbir şey yoktu.  Kargo sırasında sarsıntıdan bozulabilirdi.,5
Benim işimi rahatlıkla görüyor fakat Ekranından iyi bir performans beklemeyin Ben 500 TL daha ucuza almıştım şimdi artmış maalesef ne alırsak Yatırım gibi birşey oluyor. Şuan bilgisayar önümde donmuyor kasmıyor kronik bir sorun da yok 2 gündür kullanıyorum bir sorun görmedim Ses Altyapısı Sonicmaster ve bu Markanın ses kalitesi çok iyi sanki Şarkının icindeymişsniz gibi hissettiriyor. Touchpad den de memnunum sitelerde yakınlaştırma vs yapılabiliyor. Kısacası suanlik memnunum,5
Ürün ilanda belirtildiği özelliklerle geldi. Paketleme olabileceği kadar özenliydi. Herşeyden önemlisi 2-3 gün gibi sürede ürünü teslim aldım. Ayrıca bu fiyata aralığında bulabileceğim en güzel ürün olduğunu düşünüyorum. Firmaya ilgisi ve hizmeti için teşekkür ederim.,5
Ürün geldi  guzel sık  kibar urun kurulumu yaptım kulllanıyormm tşkurler hepsı burada☺️,5
Üründe memnun kaldık.  Hızlı gönderi.  Ancak paketleme kötü.,5
Hizli geldi kargo.guzel tasarim. Klavye isiklandirmasi guzel. Yeni aldik. Bakalim nasil olacak,5
Gönderi hızlı ve güvenle geldi. Gayet hoş ergonomik kullanışlı bir bilgisayar. Klavye ışıkları hoş öğrenci için ideal tavsiye edilir .,5
Ürün aldığım gün kargoya teslim edildi. Son derece özenli paketleme yapılmıştı. Tamamen sorunsuz. Çok teşekkürler,5
"Ürün çok hızlı elimize ulaştı. Ürün gerçekten çok güzel, hafif ve ince. HP gerçekten çok iyi laptop yapmış.",5
Verdiğim paranın hakkını fazlası ile verdi kargolama da 4 4 lük tşkler,5
Kargo sıkıntısız geldi. Ürün de hoşumuza gitti. Teşekkürler.,5
Firmaya teşekkür ederim harika hız... bilgisayar gayet başarılı,5
"Fiyat performans urunu, tesekkurler",5
Hızlı gönderim süper,5
Gayet iyi bir pc tavsiye ederim ben dükkanımda kullanmak için almıştık gayet yeterli office programlarını iyi kullanabilirsiniz,5
"Hızlı gönderi, güzel paketleme. Ürün aynen açıklamalarda anlatıldığı gibi. Işıklı klavyeleri karanlıkta da yazabilme imkanı veriyor. Sağlam bir ürün.",5
Asusun bu modeli kibar şik ve guzel bir model Mat ekrani var. Ses kalitesi orta cok abartili degil. Icinde hazir win 10 yuklu. Guncelleme hemen geldi 20h2 surumu oldu. Hizi guzel takilma kasma sorunu yusamadim. Fani normalde sessiz. Ara sira hizlaninca ses cikiyor oda dogal zaten. Gunluk kullanim icin cok guzel cihaz herzaman ryzen islemci yerine inteli tercih ederim i3 i5 i7 serileri. Malzeme kalitesi orta halde. Gunluk kullanim icin almak isteyen kisilere tavsiyem olur. Urunun kamera cozumurlugu daha iyi olabilirdi. Tek kotu yani budur bence.,5
Kargo çok hızlıydı bu kadar erken gelmesini beklemiordum ürün sağlam ve ilk izlenimlerimle hızı çok iyi .beklediğim gibiydi ve sıkıntı yaşamadım teşekkür ederim🙏,5
Kargo guzel basarılı ama daha kullanmadık insallah oda guzel olur tesekkurler hepsi burada,5
"Öncelikle bilgisayar freedos yani Windows yazılımı olmadan geliyor. Touchpad yani mouse kurmak zor olabilir, bunun için çözüm olarak lenovo driver sitesinden yonga chip set driverini yükleyin. Kasa tasarım güzel. Usb girişleri çok sıkı dikkatli olun ilk başta kırabilirsiniz. Biraz ısınma yapıyor yada ben öyle hissettim yüksek fan devreye giriyor sürekli. Ama normal fan sesi çok sessiz diyebilirim. İlk başta şarja takmadan bilgisayar açılmıyor. Ama fiyat gerçekten çok yüksek. Ben bilgisayar özellik ve puan arasından en iyi bunu aldım. Lenovo hep tercihim oldu ve bu markadan şaşmıyorum. Kargo beni her zaman ki gibi üzdü. Teşekkür ederim ilginizden dolayı, iyi satışlar",5
"Fiyatların çok yükseldiği bu dönemde alınabilecek en güzel bilgisayarlardan biri, kurulumu kolay ssd kapasitesinin 512 GB olması çok iyi hard diske gerek duymuyorsunuz. 10. Nesil i5 havası bir başka inanın i7 aramıyorsunuz açılışı ve hızı çok iyi donma yapmıyor.",5
Normalde bu tür miktardaki ürünleri internetten almam o kadar çok şikayet var ki ama artık eski bilgisayar iş görmez olmuşken mağazaların açılmasını beklemeden alma cesaretinde bulundum. Ürün gelene kadar hep bir sıkıntı olur mu diye düşünüyordum ve dün geldi açtığımda tamamen sıfır kutuda markanın koli yapışkanı bile üstündeydi yani ilk açan kişi bendim. Firma güven verdi bana. Bilgisayara gelince orta halli bir cihaz nasıl olması gerekiyorsa öyle. Tuş basması zevkli özel tuşlarda küçük led ışıklar var açık mı değil mi diye düşünmüyorsun. Eski cihaza göre oldukçada hafif ve ince geldi. Cd rom olması güzel. İnşallah sorunsuz kullanırım. Eski bilgisayar lenovo idi memnun olunca ondan yine lenovo aldık. Zaten fiyatlara bakınca gerek fiyat olsun gerek kalite olsun lenovo en iyisi diyebilirim.,5
"Ürünü 5 Mayısta sipariş ettim. Ancak bugün öğle saatlerinde gelebildi. MNG kargo yanlış şubeye yönlendirdiği için bu aksaklık olmuş. Ürün hasar alır mı diye tedirgin oldum ama korktuğum gibi olmadı. Ürün ise gayet kibar,ince ve kullanışlı. Gri renk olması avantaj parmak izi bakımından.",5
Urun  kendi kutusunun haricinde bir kutu ile teslim edildi ve kutuyu ilk açan siz oluyorsunuz çok başarılı bir uygulama  hepsi burada ve ithalatçı firmaya tsk ederiz çok ilgilenmişler bu iş yapılacaksa bu şekilde yapılmalıdır hepsi burada işini çok iyi yapıyor,5
"Öncelikle freedos geliyor. Ben hiç uğraşmadım bilgisayarcıda 40 liraya hallettim. PC'de oyun oynamadım ama zaten oyun pcsi değil. ŞARJI İNANILMAZ GİDİYOR. 3 film izledim ya üst üste şaka gibi valla çok şaşırdım. Leptopda her şey gömülü, batarya da gömülü yani. Tek canımı sıkan şey 2 usb girişi olması ve usb 3.0 olmaması, usb çoklayıcı kullanınca da amper bölünüğü için mouse imlecinde donmalar falan oluyor. Baya gıcık bi durum keşke 1 tane daha koyup 3.0 yapsalarmış. Ekran çerçeve oranı muazzam baya iyi. Onun harici kamerayı kapatma aparatı gibi bir şey var o da iyi gayet bantlamana falan gerek kalmıyor. Ağırlığı tam 2008 gr. Hassas tartı ile ölçtüm. Ses çıkışı yeterli, sanırım bu kadar. tavsiye ederim iyi günlerde kllanın. SATICIYA TEŞEKKÜR EDERİM, KARGO FALAN BAŞARILIYDI.",5
"Bu fiyata alınabilecek güzel bir bilgisayar, satıcı Nethouse ürünü çok kısa sürede kargoladı, paketleme güzeldi herhangi bir hasar veya deformasyon olmadan ürün elime ulaştı. bilgisayar lenovo kalitesine yakışır şekilde bu fiyata alınabilecek bir bilgisayar. kamerası daha iyi olabilirdi malum uzaktan eğitim, online görüşmeler falan bu aralar kamera kalitesine ihtiyaç fazla. DVD sürücü olmasaymış da olurmuş artık pek kullanılmıyor onun yerine fazladan usb girişi olsaymış daha iyi olurmuş.  Windows 10 yükledim oyun oynamadığım için hızı, performansı günlük işler, ofis programları, internet kullanımı için gayet yeterli.  Gelelim kötü tarafına, malesef mng kargo çok yavaş, normalde diğer kargolar 1 ya da en geç 2 günde elime ulaşırken mng kargodan 5. günde gidip şubeden teslim aldım. onun dışında iyi bir alışveriş oldu.",5
"Bilenler bilir Lenovo, IBM demektir. Bariz lenovo/IBM kalitesi kendini gösteriyor. Mağza da , orjinal ambalaj üzerine bir daha kutu göndererek gerçekten işi sağlama almış, helal olsun. Bir başka online siteden, HP marka laptop aldım bu bilgisayarla aynı zamanda, iki bilgisayar arasında da bariz kalite farkı olduğu gibi iki mağza arasında da bariz kalite farkı var. Bu işlerden az çok anladığımı sanıyorum ve Size önerim, LENOVO markasından şaşmayın, ve bu mağzayı da tercih edin derim.",5
Bu zamanda bu fiyata alınabilicek en iyi bilgisayar. Açılış süresi maksimum 3 saniye sürüyor.,5
Çok iyi paketlenmiş. Açılmamış orjinal kutusunda geldi. Teşekkürler.,5
Firma kargo gönderimi ve paketleme konusunda çok iyiydi. Teşekkürler. 5 yıldızı üründen çok firmanın yaklaşımı için veriyorum. Ürüne gelince tasarımı güzel fakat geri kalan özellikleri orta derece denilebilir. Bilgisayar fiyatları çok arttı. Bu özelliklerin karşılığı 5.000TL civarı olmalı..,5
